"area","bedrooms","bathrooms","age","floors","location","price"
1180,3,1.0,60,1.0,"98178",221900.0
2570,3,2.25,64,2.0,"98125",538000.0
770,2,1.0,82,1.0,"98028",180000.0
1960,4,3.0,50,1.0,"98136",604000.0
1680,3,2.0,28,1.0,"98074",510000.0
5420,4,4.5,14,1.0,"98053",1225000.0
1715,3,2.25,20,2.0,"98003",257500.0
1060,3,1.5,52,1.0,"98198",291850.0
1780,3,1.0,55,1.0,"98146",229500.0
1890,3,2.5,12,2.0,"98038",323000.0
3560,3,2.5,50,1.0,"98007",662500.0
1160,2,1.0,73,1.0,"98115",468000.0
1430,3,1.0,88,1.5,"98028",310000.0
1370,3,1.75,38,1.0,"98074",400000.0
1810,5,2.0,115,1.5,"98107",530000.0
2950,4,3.0,36,2.0,"98126",650000.0
1890,3,2.0,21,2.0,"98019",395000.0
1600,4,1.0,99,1.5,"98103",485000.0
1200,2,1.0,94,1.0,"98002",189000.0
1250,3,1.0,46,1.0,"98003",230000.0
1620,4,1.75,68,1.0,"98133",385000.0
3050,3,2.75,47,1.0,"98040",2000000.0
2270,5,2.5,20,2.0,"98092",285000.0
1070,2,1.5,30,1.0,"98030",252700.0
2450,3,2.25,30,2.0,"98030",329000.0
1710,3,2.0,74,1.5,"98002",233000.0
2450,3,1.75,100,2.0,"98119",937000.0
1400,3,1.0,106,1.5,"98112",667000.0
1520,3,1.75,67,1.0,"98115",438000.0
2570,4,2.5,10,2.0,"98052",719000.0
2320,3,2.5,12,2.0,"98027",580500.0
1190,2,1.5,10,3.0,"98133",280000.0
2330,4,1.75,86,1.5,"98117",687500.0
1090,3,1.0,86,1.5,"98117",535000.0
2060,4,2.75,34,1.0,"98058",322500.0
2300,3,2.5,85,1.5,"98115",696000.0
1660,4,1.0,82,1.0,"98052",550000.0
2360,4,2.0,111,2.0,"98107",640000.0
1220,4,1.0,46,1.0,"98001",240000.0
2620,4,2.5,19,2.0,"98056",605000.0
2570,4,2.5,15,2.0,"98074",625000.0
4220,4,2.25,31,1.0,"98166",775000.0
3595,5,2.75,1,2.0,"98053",861990.0
1570,3,1.0,93,2.0,"98119",685000.0
1280,3,1.0,56,1.0,"98058",309000.0
3160,3,2.5,12,2.0,"98019",488000.0
990,3,1.0,49,1.0,"98023",210490.0
2290,4,2.5,34,2.0,"98007",785000.0
1250,3,1.75,62,1.0,"98115",450000.0
2753,3,2.5,62,1.0,"98070",1350000.0
1190,3,1.0,60,1.0,"98148",228000.0
3150,5,2.5,49,1.0,"98056",345000.0
1410,3,1.75,65,1.0,"98117",600000.0
1980,2,1.75,34,1.0,"98117",585000.0
2730,5,2.25,88,1.5,"98105",920000.0
2830,4,2.5,20,2.0,"98105",885000.0
2250,4,2.5,7,2.0,"98042",292500.0
2420,3,2.5,12,2.0,"98042",301000.0
3250,5,3.25,47,2.0,"98008",951000.0
1850,4,3.0,24,2.0,"98059",430000.0
